Using device = cuda
Training params:
MAX_GRAD_NORM=1.2, 
      EPSILON = 10, 
      DELTA = 1e-05,
      EPOCHS = 30, 
      LR = 0.0001 
	Train Epoch: 0 	Loss: 23.118787 Acc@1: 0.000000 (ε spent so far = 2.96, δ = 1e-05)
	Train Epoch: 0 	Loss: 20.638146 Acc@1: 0.000000 (ε spent so far = 3.36, δ = 1e-05)
	Train Epoch: 0 	Loss: 18.448103 Acc@1: 0.000000 (ε spent so far = 3.59, δ = 1e-05)
	Train Epoch: 0 	Loss: 16.497798 Acc@1: 0.000000 (ε spent so far = 3.76, δ = 1e-05)
	Train Epoch: 0 	Loss: 14.727326 Acc@1: 0.004167 (ε spent so far = 3.89, δ = 1e-05)
	Train Epoch: 0 	Loss: 13.236460 Acc@1: 1.277168 (ε spent so far = 4.01, δ = 1e-05)
	Train Epoch: 0 	Loss: 12.050977 Acc@1: 2.503123 (ε spent so far = 4.10, δ = 1e-05)
	Train Epoch: 0 	Loss: 11.090903 Acc@1: 3.447689 (ε spent so far = 4.19, δ = 1e-05)
	Train Epoch: 0 	Loss: 10.300014 Acc@1: 4.160579 (ε spent so far = 4.26, δ = 1e-05)
	Train Epoch: 0 	Loss: 9.639581 Acc@1: 4.722905 (ε spent so far = 4.33, δ = 1e-05)
	Test set:Loss: 3.547013 Acc: 10.540000 
	Train Epoch: 1 	Loss: 3.402464 Acc@1: 10.433034 (ε spent so far = 4.40, δ = 1e-05)
	Train Epoch: 1 	Loss: 3.328277 Acc@1: 10.711342 (ε spent so far = 4.46, δ = 1e-05)
	Train Epoch: 1 	Loss: 3.251023 Acc@1: 11.328192 (ε spent so far = 4.52, δ = 1e-05)
	Train Epoch: 1 	Loss: 3.180263 Acc@1: 11.574772 (ε spent so far = 4.57, δ = 1e-05)
	Train Epoch: 1 	Loss: 3.125349 Acc@1: 11.703050 (ε spent so far = 4.63, δ = 1e-05)
	Train Epoch: 1 	Loss: 3.068613 Acc@1: 12.047334 (ε spent so far = 4.67, δ = 1e-05)
	Train Epoch: 1 	Loss: 3.020156 Acc@1: 12.267007 (ε spent so far = 4.72, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.975211 Acc@1: 12.338022 (ε spent so far = 4.77, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.935394 Acc@1: 12.337675 (ε spent so far = 4.81, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.899797 Acc@1: 12.375054 (ε spent so far = 4.86, δ = 1e-05)
	Test set:Loss: 2.549835 Acc: 12.650000 
	Train Epoch: 2 	Loss: 2.538397 Acc@1: 13.111204 (ε spent so far = 4.90, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.518305 Acc@1: 12.553475 (ε spent so far = 4.94, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.507880 Acc@1: 12.632679 (ε spent so far = 4.98, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.497096 Acc@1: 12.742075 (ε spent so far = 5.02, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.486403 Acc@1: 12.787282 (ε spent so far = 5.05, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.475453 Acc@1: 12.774503 (ε spent so far = 5.09, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.465083 Acc@1: 12.919582 (ε spent so far = 5.13, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.457489 Acc@1: 12.958562 (ε spent so far = 5.16, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.449807 Acc@1: 13.102907 (ε spent so far = 5.20, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.442853 Acc@1: 13.272249 (ε spent so far = 5.23, δ = 1e-05)
	Test set:Loss: 2.381561 Acc: 13.960000 
	Train Epoch: 3 	Loss: 2.379742 Acc@1: 13.839774 (ε spent so far = 5.26, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.370135 Acc@1: 13.716456 (ε spent so far = 5.30, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.365608 Acc@1: 14.130930 (ε spent so far = 5.33, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.361932 Acc@1: 14.123066 (ε spent so far = 5.36, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.361872 Acc@1: 14.172913 (ε spent so far = 5.39, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.358947 Acc@1: 14.281076 (ε spent so far = 5.42, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.356687 Acc@1: 14.256971 (ε spent so far = 5.45, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.354150 Acc@1: 14.368100 (ε spent so far = 5.48, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.350960 Acc@1: 14.395119 (ε spent so far = 5.51, δ = 1e-05)
	Train Epoch: 3 	Loss: 2.348832 Acc@1: 14.525312 (ε spent so far = 5.54, δ = 1e-05)
	Test set:Loss: 2.324516 Acc: 15.320000 
	Train Epoch: 4 	Loss: 2.315117 Acc@1: 16.680686 (ε spent so far = 5.57, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.315524 Acc@1: 17.032006 (ε spent so far = 5.60, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.313634 Acc@1: 16.917767 (ε spent so far = 5.63, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.313915 Acc@1: 16.410294 (ε spent so far = 5.66, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.313970 Acc@1: 16.396365 (ε spent so far = 5.68, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.312104 Acc@1: 16.419981 (ε spent so far = 5.71, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.310233 Acc@1: 16.374579 (ε spent so far = 5.74, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.308774 Acc@1: 16.391847 (ε spent so far = 5.77, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.306781 Acc@1: 16.377654 (ε spent so far = 5.79, δ = 1e-05)
	Train Epoch: 4 	Loss: 2.304364 Acc@1: 16.425250 (ε spent so far = 5.82, δ = 1e-05)
	Test set:Loss: 2.289095 Acc: 17.470000 
	Train Epoch: 5 	Loss: 2.281236 Acc@1: 17.719541 (ε spent so far = 5.84, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.283181 Acc@1: 16.976004 (ε spent so far = 5.87, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.281116 Acc@1: 17.173715 (ε spent so far = 5.90, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.280572 Acc@1: 17.292541 (ε spent so far = 5.92, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.280243 Acc@1: 17.414081 (ε spent so far = 5.95, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.279194 Acc@1: 17.304300 (ε spent so far = 5.97, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.277448 Acc@1: 17.404503 (ε spent so far = 6.00, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.275650 Acc@1: 17.528196 (ε spent so far = 6.02, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.274351 Acc@1: 17.522941 (ε spent so far = 6.05, δ = 1e-05)
	Train Epoch: 5 	Loss: 2.273692 Acc@1: 17.596354 (ε spent so far = 6.07, δ = 1e-05)
	Test set:Loss: 2.261299 Acc: 18.630000 
